time_s,value
0.000000,0.001042
0.000021,0.002083
0.000042,0.003125
0.000063,0.004167
0.000083,0.005208
0.000104,0.006250
0.000125,0.007292
0.000146,0.008333
0.000167,0.009375
0.000188,0.010417
0.000208,0.011458
0.000229,0.012500
0.000250,0.013542
0.000271,0.014583
0.000292,0.015625
0.000312,0.016667
0.000333,0.017708
0.000354,0.018750
0.000375,0.019792
0.000396,0.020833
0.000417,0.021875
0.000438,0.022917
0.000458,0.023958
0.000479,0.025000
0.000500,0.026042
0.000521,0.027083
0.000542,0.028125
0.000562,0.029167
0.000583,0.030208
0.000604,0.031250
0.000625,0.032292
0.000646,0.033333
0.000667,0.034375
0.000687,0.035417
0.000708,0.036458
0.000729,0.037500
0.000750,0.038542
0.000771,0.039583
0.000792,0.040625
0.000813,0.041667
0.000833,0.042708
0.000854,0.043750
0.000875,0.044792
0.000896,0.045833
0.000917,0.046875
0.000937,0.047917
0.000958,0.048958
0.000979,0.050000
0.001000,0.051042
0.001021,0.052083
0.001042,0.053125
0.001063,0.054167
0.001083,0.055208
0.001104,0.056250
0.001125,0.057292
0.001146,0.058333
0.001167,0.059375
0.001187,0.060417
0.001208,0.061458
0.001229,0.062500
0.001250,0.063542
0.001271,0.064583
0.001292,0.065625
0.001312,0.066667
0.001333,0.067708
0.001354,0.068750
0.001375,0.069792
0.001396,0.070833
0.001417,0.071875
0.001438,0.072917
0.001458,0.073958
0.001479,0.075000
0.001500,0.076042
0.001521,0.077083
0.001542,0.078125
0.001563,0.079167
0.001583,0.080208
0.001604,0.081250
0.001625,0.082292
0.001646,0.083333
0.001667,0.084375
0.001688,0.085417
0.001708,0.086458
0.001729,0.087500
0.001750,0.088542
0.001771,0.089583
0.001792,0.090625
0.001812,0.091667
0.001833,0.092708
0.001854,0.093750
0.001875,0.094792
0.001896,0.095833
0.001917,0.096875
0.001937,0.097917
0.001958,0.098958
0.001979,0.100000
0.002000,0.101042
0.002021,0.102083
0.002042,0.103125
0.002062,0.104167
0.002083,0.105208
0.002104,0.106250
0.002125,0.107292
0.002146,0.108333
0.002167,0.109375
0.002188,0.110417
0.002208,0.111458
0.002229,0.112500
0.002250,0.113542
0.002271,0.114583
0.002292,0.115625
0.002313,0.116667
0.002333,0.117708
0.002354,0.118750
0.002375,0.119792
0.002396,0.120833
0.002417,0.121875
0.002438,0.122917
0.002458,0.123958
0.002479,0.125000
0.002500,0.126042
0.002521,0.127083
0.002542,0.128125
0.002563,0.129167
0.002583,0.130208
0.002604,0.131250
0.002625,0.132292
0.002646,0.133333
0.002667,0.134375
0.002688,0.135417
0.002708,0.136458
0.002729,0.137500
0.002750,0.138542
0.002771,0.139583
0.002792,0.140625
0.002813,0.141667
0.002833,0.142708
0.002854,0.143750
0.002875,0.144792
0.002896,0.145833
0.002917,0.146875
0.002937,0.147917
0.002958,0.148958
0.002979,0.150000
0.003000,0.151042
0.003021,0.152083
0.003042,0.153125
0.003062,0.154167
0.003083,0.155208
0.003104,0.156250
0.003125,0.157292
0.003146,0.158333
0.003167,0.159375
0.003187,0.160417
0.003208,0.161458
0.003229,0.162500
0.003250,0.163542
0.003271,0.164583
0.003292,0.165625
0.003312,0.166667
0.003333,0.167708
0.003354,0.168750
0.003375,0.169792
0.003396,0.170833
0.003417,0.171875
0.003437,0.172917
0.003458,0.173958
0.003479,0.175000
0.003500,0.176042
0.003521,0.177083
0.003542,0.178125
0.003563,0.179167
0.003583,0.180208
0.003604,0.181250
0.003625,0.182292
0.003646,0.183333
0.003667,0.184375
0.003688,0.185417
0.003708,0.186458
0.003729,0.187500
0.003750,0.188542
0.003771,0.189583
0.003792,0.190625
0.003813,0.191666
0.003833,0.192708
0.003854,0.193750
0.003875,0.194791
0.003896,0.195833
0.003917,0.196875
0.003938,0.197916
0.003958,0.198958
0.003979,0.200000
0.004000,0.201041
0.004021,0.202083
0.004042,0.203125
0.004062,0.204166
0.004083,0.205208
0.004104,0.206250
0.004125,0.207291
0.004146,0.208333
0.004167,0.209375
0.004188,0.210416
0.004208,0.211458
0.004229,0.212500
0.004250,0.213541
0.004271,0.214583
0.004292,0.215625
0.004312,0.216666
0.004333,0.217708
0.004354,0.218750
0.004375,0.219791
0.004396,0.220833
0.004417,0.221875
0.004438,0.222916
0.004458,0.223958
0.004479,0.225000
0.004500,0.226041
0.004521,0.227083
0.004542,0.228125
0.004562,0.229166
0.004583,0.230208
0.004604,0.231250
0.004625,0.232291
0.004646,0.233333
0.004667,0.234375
0.004688,0.235416
0.004708,0.236458
0.004729,0.237500
0.004750,0.238541
0.004771,0.239583
0.004792,0.240625
0.004812,0.241666
0.004833,0.242708
0.004854,0.243750
0.004875,0.244791
0.004896,0.245833
0.004917,0.246875
0.004938,0.247916
0.004958,0.248958
0.004979,0.250000
0.005000,0.251041
0.005021,0.252083
0.005042,0.253125
0.005063,0.254166
0.005083,0.255208
0.005104,0.256250
0.005125,0.257292
0.005146,0.258333
0.005167,0.259375
0.005187,0.260417
0.005208,0.261458
0.005229,0.262500
0.005250,0.263542
0.005271,0.264583
0.005292,0.265625
0.005313,0.266667
0.005333,0.267708
0.005354,0.268750
0.005375,0.269792
0.005396,0.270833
0.005417,0.271875
0.005437,0.272917
0.005458,0.273958
0.005479,0.275000
0.005500,0.276042
0.005521,0.277083
0.005542,0.278125
0.005563,0.279167
0.005583,0.280208
0.005604,0.281250
0.005625,0.282292
0.005646,0.283334
0.005667,0.284375
0.005687,0.285417
0.005708,0.286459
0.005729,0.287500
0.005750,0.288542
0.005771,0.289584
0.005792,0.290625
0.005813,0.291667
0.005833,0.292709
0.005854,0.293750
0.005875,0.294792
0.005896,0.295834
0.005917,0.296875
0.005937,0.297917
0.005958,0.298959
0.005979,0.300000
0.006000,0.301042
0.006021,0.302084
0.006042,0.303125
0.006063,0.304167
0.006083,0.305209
0.006104,0.306251
0.006125,0.307292
0.006146,0.308334
0.006167,0.309376
0.006187,0.310417
0.006208,0.311459
0.006229,0.312501
0.006250,0.313542
0.006271,0.314584
0.006292,0.315626
0.006313,0.316667
0.006333,0.317709
0.006354,0.318751
0.006375,0.319792
0.006396,0.320834
0.006417,0.321876
0.006438,0.322917
0.006458,0.323959
0.006479,0.325001
0.006500,0.326042
0.006521,0.327084
0.006542,0.328126
0.006562,0.329167
0.006583,0.330209
0.006604,0.331251
0.006625,0.332293
0.006646,0.333334
0.006667,0.334376
0.006688,0.335418
0.006708,0.336459
0.006729,0.337501
0.006750,0.338543
0.006771,0.339584
0.006792,0.340626
0.006812,0.341668
0.006833,0.342709
0.006854,0.343751
0.006875,0.344793
0.006896,0.345834
0.006917,0.346876
0.006938,0.347918
0.006958,0.348959
0.006979,0.350001
0.007000,0.351043
0.007021,0.352084
0.007042,0.353126
0.007062,0.354168
0.007083,0.355209
0.007104,0.356251
0.007125,0.357293
0.007146,0.358335
0.007167,0.359376
0.007188,0.360418
0.007208,0.361460
0.007229,0.362501
0.007250,0.363543
0.007271,0.364585
0.007292,0.365626
0.007312,0.366668
0.007333,0.367710
0.007354,0.368751
0.007375,0.369793
0.007396,0.370835
0.007417,0.371876
0.007438,0.372918
0.007458,0.373960
0.007479,0.375001
0.007500,0.376043
0.007521,0.377085
0.007542,0.378126
0.007562,0.379168
0.007583,0.380210
0.007604,0.381252
0.007625,0.382293
0.007646,0.383335
0.007667,0.384377
0.007688,0.385418
0.007708,0.386460
0.007729,0.387502
0.007750,0.388543
0.007771,0.389585
0.007792,0.390627
0.007812,0.391668
0.007833,0.392710
0.007854,0.393752
0.007875,0.394793
0.007896,0.395835
0.007917,0.396877
0.007938,0.397918
0.007958,0.398960
0.007979,0.400002
0.008000,0.401043
0.008021,0.402085
0.008042,0.403127
0.008062,0.404168
0.008083,0.405210
0.008104,0.406252
0.008125,0.407294
0.008146,0.408335
0.008167,0.409377
0.008187,0.410419
0.008208,0.411460
0.008229,0.412502
0.008250,0.413544
0.008271,0.414585
0.008292,0.415627
0.008313,0.416669
0.008333,0.417710
0.008354,0.418752
0.008375,0.419794
0.008396,0.420835
0.008417,0.421877
0.008438,0.422919
0.008458,0.423960
0.008479,0.425002
0.008500,0.426044
0.008521,0.427085
0.008542,0.428127
0.008562,0.429169
0.008583,0.430211
0.008604,0.431252
0.008625,0.432294
0.008646,0.433336
0.008667,0.434377
0.008687,0.435419
0.008708,0.436461
0.008729,0.437502
0.008750,0.438544
0.008771,0.439586
0.008792,0.440627
0.008813,0.441669
0.008833,0.442711
0.008854,0.443752
0.008875,0.444794
0.008896,0.445836
0.008917,0.446877
0.008938,0.447919
0.008958,0.448961
0.008979,0.450002
0.009000,0.451044
0.009021,0.452086
0.009042,0.453127
0.009062,0.454169
0.009083,0.455211
