freq_hz,d_0.25,d_0.50,d_0.75
20.000002,-62.074436,-61.949005,-61.209332
20.556873,-62.074432,-61.949005,-61.209332
21.129250,-62.074436,-61.949005,-61.209332
21.717562,-62.074436,-61.949005,-61.209332
22.322262,-62.074436,-61.949005,-61.209332
22.943792,-62.074436,-61.949005,-61.209332
23.582628,-62.074436,-61.949005,-61.209332
24.239252,-62.074436,-61.949005,-61.209332
24.914158,-62.074436,-61.949005,-61.209332
25.607864,-62.074436,-61.949005,-61.209335
26.320877,-62.074436,-61.949005,-61.209335
27.053743,-62.074436,-61.949005,-61.209335
27.807016,-62.074436,-61.949009,-61.209335
28.581261,-62.074436,-61.949005,-61.209332
29.377064,-62.074436,-61.949005,-61.209335
30.195026,-62.074436,-61.949009,-61.209335
31.035770,-62.074436,-61.949005,-61.209335
31.899916,-62.074436,-61.949009,-61.209335
32.788124,-62.074436,-61.949009,-61.209335
33.701061,-62.074440,-61.949009,-61.209335
34.639416,-62.074440,-61.949009,-61.209335
35.603909,-62.074440,-61.949009,-61.209335
36.595249,-62.074440,-61.949009,-61.209335
37.614189,-62.074440,-61.949009,-61.209335
38.661503,-62.074440,-61.949009,-61.209335
39.737976,-62.074440,-61.949013,-61.209335
40.844433,-62.074440,-61.949013,-61.209335
41.981674,-62.074448,-61.949013,-61.209335
43.150604,-62.074448,-61.949013,-61.209335
44.352070,-62.074448,-61.949013,-61.209335
45.586987,-62.074448,-61.949013,-61.209335
46.856289,-62.074448,-61.949013,-61.209335
48.160934,-62.074448,-61.949013,-61.209335
49.501919,-62.074448,-61.949020,-61.209335
50.880226,-62.074448,-61.949013,-61.209335
52.296913,-62.074451,-61.949020,-61.209335
53.753044,-62.074451,-61.949020,-61.209335
55.249718,-62.074451,-61.949020,-61.209335
56.788082,-62.074451,-61.949020,-61.209339
58.369263,-62.074455,-61.949020,-61.209335
59.994469,-62.074455,-61.949024,-61.209339
61.664928,-62.074455,-61.949024,-61.209339
63.381897,-62.074455,-61.949024,-61.209339
65.146690,-62.074463,-61.949024,-61.209339
66.960587,-62.074463,-61.949024,-61.209339
68.825027,-62.074463,-61.949028,-61.209339
70.741356,-62.074467,-61.949028,-61.209339
72.711044,-62.074467,-61.949028,-61.209339
74.735580,-62.074467,-61.949036,-61.209339
76.816483,-62.074471,-61.949036,-61.209339
78.955345,-62.074471,-61.949036,-61.209343
81.153717,-62.074474,-61.949039,-61.209343
83.413353,-62.074474,-61.949039,-61.209343
85.735870,-62.074478,-61.949043,-61.209343
88.123062,-62.074478,-61.949043,-61.209343
90.576744,-62.074486,-61.949047,-61.209343
93.098694,-62.074486,-61.949047,-61.209351
95.690918,-62.074490,-61.949051,-61.209351
98.355293,-62.074493,-61.949059,-61.209351
101.093849,-62.074501,-61.949062,-61.209351
103.908630,-62.074501,-61.949062,-61.209351
106.801849,-62.074505,-61.949062,-61.209354
109.775620,-62.074509,-61.949066,-61.209354
112.832130,-62.074512,-61.949074,-61.209354
115.973801,-62.074516,-61.949078,-61.209354
119.202957,-62.074524,-61.949081,-61.209358
122.521957,-62.074528,-61.949085,-61.209358
125.933434,-62.074532,-61.949089,-61.209366
129.439896,-62.074539,-61.949097,-61.209366
133.043930,-62.074543,-61.949100,-61.209366
136.748306,-62.074547,-61.949104,-61.209370
140.555908,-62.074554,-61.949112,-61.209370
144.469513,-62.074562,-61.949116,-61.209370
148.492020,-62.074570,-61.949123,-61.209373
152.626602,-62.074577,-61.949127,-61.209373
156.876221,-62.074585,-61.949139,-61.209377
161.244247,-62.074593,-61.949150,-61.209377
165.733902,-62.074604,-61.949154,-61.209381
170.348480,-62.074615,-61.949162,-61.209389
175.091629,-62.074623,-61.949173,-61.209389
179.966751,-62.074631,-61.949181,-61.209393
184.977707,-62.074646,-61.949192,-61.209396
190.128204,-62.074661,-61.949200,-61.209404
195.421982,-62.074669,-61.949211,-61.209404
200.863174,-62.074684,-61.949226,-61.209408
206.455963,-62.074699,-61.949234,-61.209412
212.204483,-62.074715,-61.949249,-61.209415
218.113068,-62.074734,-61.949265,-61.209419
224.186050,-62.074745,-61.949276,-61.209427
230.428116,-62.074760,-61.949291,-61.209431
236.844116,-62.074783,-61.949310,-61.209435
243.438766,-62.074806,-61.949326,-61.209442
250.217026,-62.074821,-61.949345,-61.209450
257.183868,-62.074848,-61.949364,-61.209454
264.344727,-62.074871,-61.949387,-61.209465
271.705078,-62.074894,-61.949406,-61.209469
279.270386,-62.074921,-61.949429,-61.209480
287.046356,-62.074947,-61.949455,-61.209488
295.038635,-62.074982,-61.949478,-61.209492
303.253479,-62.075008,-61.949505,-61.209507
311.697235,-62.075043,-61.949535,-61.209511
320.376068,-62.075073,-61.949562,-61.209526
329.296387,-62.075111,-61.949596,-61.209534
338.465240,-62.075150,-61.949631,-61.209545
347.889221,-62.075191,-61.949661,-61.209560
357.575775,-62.075233,-61.949699,-61.209572
367.532043,-62.075275,-61.949738,-61.209583
377.765350,-62.075325,-61.949787,-61.209599
388.283569,-62.075378,-61.949825,-61.209618
399.094849,-62.075428,-61.949875,-61.209633
410.207184,-62.075485,-61.949924,-61.209648
421.628906,-62.075542,-61.949974,-61.209663
433.368439,-62.075607,-61.950031,-61.209682
445.434814,-62.075672,-61.950089,-61.209702
457.837433,-62.075745,-61.950150,-61.209724
470.585358,-62.075813,-61.950211,-61.209747
483.688263,-62.075897,-61.950283,-61.209770
497.155701,-62.075977,-61.950356,-61.209797
510.998138,-62.076065,-61.950432,-61.209824
525.226257,-62.076157,-61.950512,-61.209850
539.850586,-62.076256,-61.950600,-61.209877
554.881775,-62.076355,-61.950687,-61.209911
570.331787,-62.076462,-61.950783,-61.209946
586.211731,-62.076576,-61.950878,-61.209980
602.534058,-62.076702,-61.950989,-61.210014
619.310913,-62.076832,-61.951099,-61.210052
