freq_hz,d_0.25,d_0.50,d_0.75
20.000002,-0.030968,-0.072727,-0.112208
20.556873,-0.031830,-0.074752,-0.115332
21.129250,-0.032716,-0.076834,-0.118543
21.717562,-0.033627,-0.078973,-0.121844
22.322262,-0.034564,-0.081172,-0.125237
22.943792,-0.035526,-0.083432,-0.128724
23.582628,-0.036515,-0.085755,-0.132308
24.239252,-0.037532,-0.088143,-0.135992
24.914158,-0.038577,-0.090597,-0.139778
25.607864,-0.039651,-0.093120,-0.143670
26.320877,-0.040755,-0.095712,-0.147670
27.053743,-0.041890,-0.098377,-0.151782
27.807016,-0.043056,-0.101117,-0.156008
28.581261,-0.044255,-0.103932,-0.160352
29.377064,-0.045487,-0.106826,-0.164817
30.195026,-0.046754,-0.109800,-0.169406
31.035770,-0.048055,-0.112857,-0.174123
31.899916,-0.049393,-0.116000,-0.178971
32.788124,-0.050769,-0.119230,-0.183954
33.701061,-0.052182,-0.122549,-0.189076
34.639416,-0.053635,-0.125962,-0.194341
35.603909,-0.055129,-0.129469,-0.199752
36.595249,-0.056664,-0.133074,-0.205314
37.614189,-0.058241,-0.136779,-0.211030
38.661503,-0.059863,-0.140587,-0.216906
39.737976,-0.061530,-0.144502,-0.222946
40.844433,-0.063243,-0.148525,-0.229153
41.981674,-0.065004,-0.152661,-0.235534
43.150604,-0.066814,-0.156912,-0.242092
44.352070,-0.068674,-0.161281,-0.248833
45.586987,-0.070586,-0.165771,-0.255761
46.856289,-0.072552,-0.170387,-0.262882
48.160934,-0.074572,-0.175131,-0.270202
49.501919,-0.076648,-0.180007,-0.277725
50.880226,-0.078782,-0.185020,-0.285458
52.296913,-0.080976,-0.190171,-0.293407
53.753044,-0.083231,-0.195466,-0.301576
55.249718,-0.085548,-0.200909,-0.309973
56.788082,-0.087930,-0.206503,-0.318604
58.369263,-0.090378,-0.212253,-0.327475
59.994469,-0.092895,-0.218162,-0.336593
61.664928,-0.095481,-0.224237,-0.345965
63.381897,-0.098140,-0.230481,-0.355598
65.146690,-0.100873,-0.236898,-0.365499
66.960587,-0.103681,-0.243494,-0.375676
68.825027,-0.106568,-0.250274,-0.386136
70.741356,-0.109535,-0.257243,-0.396888
72.711044,-0.112585,-0.264405,-0.407939
74.735580,-0.115720,-0.271767,-0.419297
76.816483,-0.118942,-0.279334,-0.430972
78.955345,-0.122254,-0.287112,-0.442972
81.153717,-0.125658,-0.295106,-0.455306
83.413353,-0.129157,-0.303323,-0.467983
85.735870,-0.132753,-0.311769,-0.481014
88.123062,-0.136449,-0.320450,-0.494407
90.576744,-0.140249,-0.329373,-0.508174
93.098694,-0.144154,-0.338544,-0.522323
95.690918,-0.148167,-0.347970,-0.536867
98.355293,-0.152293,-0.357659,-0.551815
101.093849,-0.156533,-0.367618,-0.567180
103.908630,-0.160892,-0.377854,-0.582972
106.801849,-0.165372,-0.388375,-0.599204
109.775620,-0.169977,-0.399189,-0.615889
112.832130,-0.174709,-0.410304,-0.633037
115.973801,-0.179574,-0.421728,-0.650664
119.202957,-0.184574,-0.433472,-0.668781
122.521957,-0.189713,-0.445541,-0.687402
125.933434,-0.194996,-0.457947,-0.706543
129.439896,-0.200425,-0.470698,-0.726216
133.043930,-0.206006,-0.483805,-0.746437
136.748306,-0.211742,-0.497276,-0.767220
140.555908,-0.217638,-0.511122,-0.788583
144.469513,-0.223698,-0.525354,-0.810541
148.492020,-0.229926,-0.539983,-0.833110
152.626602,-0.236329,-0.555019,-0.856307
156.876221,-0.242909,-0.570473,-0.880150
161.244247,-0.249673,-0.586358,-0.904658
165.733902,-0.256625,-0.602685,-0.929848
170.348480,-0.263770,-0.619467,-0.955739
175.091629,-0.271115,-0.636716,-0.982351
179.966751,-0.278664,-0.654446,-1.009704
184.977707,-0.286424,-0.672669,-1.037819
190.128204,-0.294399,-0.691400,-1.066717
195.421982,-0.302597,-0.710652,-1.096420
200.863174,-0.311022,-0.730441,-1.126949
206.455963,-0.319683,-0.750781,-1.158329
212.204483,-0.328584,-0.771687,-1.190583
218.113068,-0.337734,-0.793176,-1.223736
224.186050,-0.347138,-0.815263,-1.257811
230.428116,-0.356804,-0.837965,-1.292834
236.844116,-0.366740,-0.861299,-1.328834
243.438766,-0.376952,-0.885284,-1.365837
250.217026,-0.387449,-0.909936,-1.403870
257.183868,-0.398238,-0.935276,-1.442961
264.344727,-0.409327,-0.961320,-1.483142
271.705078,-0.420725,-0.988091,-1.524442
279.270386,-0.432441,-1.015607,-1.566892
287.046356,-0.444483,-1.043890,-1.610525
295.038635,-0.456861,-1.072960,-1.655372
303.253479,-0.469582,-1.102841,-1.701468
311.697235,-0.482659,-1.133554,-1.748849
320.376068,-0.496100,-1.165123,-1.797550
329.296387,-0.509915,-1.197571,-1.847606
338.465240,-0.524115,-1.230923,-1.899058
347.889221,-0.538710,-1.265204,-1.951941
