freq_hz,lowpass,highpass,bandpass
20.000002,-66.226646,-134.202057,-97.206810
20.556873,-66.226646,-133.724640,-96.968277
21.129250,-66.226646,-133.249176,-96.729736
21.717562,-66.226646,-132.772430,-96.491203
22.322262,-66.226646,-132.294678,-96.252663
22.943792,-66.226646,-131.818954,-96.014114
23.582628,-66.226646,-131.341721,-95.775574
24.239252,-66.226646,-130.864380,-95.537033
24.914158,-66.226646,-130.388367,-95.298492
25.607864,-66.226646,-129.911209,-95.059952
26.320877,-66.226646,-129.434326,-94.821404
27.053743,-66.226646,-128.958588,-94.582870
27.807016,-66.226646,-128.481110,-94.344330
28.581261,-66.226646,-128.004028,-94.105789
29.377064,-66.226646,-127.527008,-93.867249
30.195026,-66.226646,-127.050735,-93.628708
31.035770,-66.226654,-126.573334,-93.390160
31.899916,-66.226646,-126.096764,-93.151619
32.788124,-66.226654,-125.619270,-92.913086
33.701061,-66.226654,-125.142807,-92.674545
34.639416,-66.226654,-124.665642,-92.436005
35.603909,-66.226654,-124.188988,-92.197456
36.595249,-66.226662,-123.711731,-91.958916
37.614189,-66.226654,-123.234848,-91.720383
38.661503,-66.226662,-122.757904,-91.481842
39.737976,-66.226662,-122.281258,-91.243294
40.844433,-66.226662,-121.803833,-91.004761
41.981674,-66.226662,-121.326920,-90.766220
43.150604,-66.226662,-120.850021,-90.527679
44.352070,-66.226669,-120.373451,-90.289154
45.586987,-66.226669,-119.896172,-90.050598
46.856289,-66.226669,-119.419052,-89.812073
48.160934,-66.226669,-118.942062,-89.573532
49.501919,-66.226669,-118.464958,-89.334984
50.880226,-66.226685,-117.988014,-89.096443
52.296913,-66.226685,-117.511139,-88.857910
53.753044,-66.226685,-117.034134,-88.619370
55.249718,-66.226685,-116.557243,-88.380829
56.788082,-66.226700,-116.080048,-88.142288
58.369263,-66.226700,-115.603012,-87.903755
59.994469,-66.226707,-115.125877,-87.665215
61.664928,-66.226715,-114.648933,-87.426682
63.381897,-66.226723,-114.171967,-87.188148
65.146690,-66.226738,-113.694992,-86.949608
66.960587,-66.226746,-113.217926,-86.711082
68.825027,-66.226753,-112.740929,-86.472542
70.741356,-66.226768,-112.263763,-86.234016
72.711044,-66.226776,-111.786812,-85.995483
74.735580,-66.226799,-111.309753,-85.756958
76.816483,-66.226814,-110.832703,-85.518425
78.955345,-66.226830,-110.355637,-85.279907
81.153717,-66.226845,-109.878693,-85.041382
83.413353,-66.226875,-109.401543,-84.802849
85.735870,-66.226891,-108.924522,-84.564331
88.123062,-66.226921,-108.447479,-84.325806
90.576744,-66.226959,-107.970428,-84.087288
93.098694,-66.226990,-107.493408,-83.848793
95.690918,-66.227028,-107.016434,-83.610275
98.355293,-66.227074,-106.539345,-83.371773
101.093849,-66.227119,-106.062355,-83.133278
103.908630,-66.227180,-105.585358,-82.894783
106.801849,-66.227234,-105.108299,-82.656296
109.775620,-66.227303,-104.631340,-82.417816
112.832130,-66.227379,-104.154289,-82.179337
115.973801,-66.227463,-103.677277,-81.940872
119.202957,-66.227554,-103.200302,-81.702415
122.521957,-66.227654,-102.723305,-81.463966
125.933434,-66.227776,-102.246353,-81.225525
129.439896,-66.227898,-101.769371,-80.987106
133.043930,-66.228043,-101.292404,-80.748703
136.748306,-66.228210,-100.815460,-80.510315
140.555908,-66.228378,-100.338554,-80.271927
144.469513,-66.228577,-99.861664,-80.033577
148.492020,-66.228798,-99.384796,-79.795242
152.626602,-66.229050,-98.907936,-79.556931
156.876221,-66.229317,-98.431099,-79.318657
161.244247,-66.229637,-97.954285,-79.080406
165.733902,-66.229980,-97.477524,-78.842194
170.348480,-66.230354,-97.000793,-78.604004
175.091629,-66.230782,-96.524086,-78.365868
179.966751,-66.231255,-96.047455,-78.127792
184.977707,-66.231781,-95.570869,-77.889755
190.128204,-66.232384,-95.094330,-77.651779
195.421982,-66.233040,-94.617851,-77.413872
200.863174,-66.233772,-94.141464,-77.176048
206.455963,-66.234596,-93.665154,-76.938309
212.204483,-66.235512,-93.188934,-76.700638
218.113068,-66.236526,-92.712830,-76.463089
224.186050,-66.237671,-92.236824,-76.225655
230.428116,-66.238945,-91.760956,-75.988358
236.844116,-66.240356,-91.285210,-75.751190
243.438766,-66.241943,-90.809631,-75.514191
250.217026,-66.243706,-90.334236,-75.277367
257.183868,-66.245667,-89.859039,-75.040756
264.344727,-66.247864,-89.384071,-74.804367
271.705078,-66.250313,-88.909340,-74.568222
279.270386,-66.253044,-88.434875,-74.332359
287.046356,-66.256088,-87.960739,-74.096802
295.038635,-66.259476,-87.486938,-73.861603
303.253479,-66.263268,-87.013519,-73.626793
311.697235,-66.267487,-86.540527,-73.392395
320.376068,-66.272186,-86.068008,-73.158493
329.296387,-66.277435,-85.596039,-72.925125
338.465240,-66.283279,-85.124649,-72.692352
347.889221,-66.289795,-84.653931,-72.460243
357.575775,-66.297050,-84.183929,-72.228874
367.532043,-66.305138,-83.714752,-71.998329
377.765350,-66.314140,-83.246490,-71.768707
388.283569,-66.324165,-82.779243,-71.540092
399.094849,-66.335335,-82.313126,-71.312622
410.207184,-66.347763,-81.848236,-71.086395
421.628906,-66.361595,-81.384750,-70.861557
433.368439,-66.376976,-80.922813,-70.638283
445.434814,-66.394073,-80.462578,-70.416710
457.837433,-66.413094,-80.004227,-70.197052
470.585358,-66.434212,-79.547966,-69.979477
483.688263,-66.457664,-79.094025,-69.764236
497.155701,-66.483696,-78.642654,-69.551559
510.998138,-66.512566,-78.194107,-69.341721
525.226257,-66.544563,-77.748657,-69.134995
539.850586,-66.580009,-77.306625,-68.931702
554.881775,-66.619225,-76.868370,-68.732178
570.331787,-66.662598,-76.434219,-68.536789
586.211731,-66.710495,-76.004578,-68.345924
602.534058,-66.763344,-75.579872,-68.159988
619.310913,-66.821587,-75.160522,-67.979439
636.554565,-66.885696,-74.747017,-67.804741
654.278320,-66.956161,-74.339828,-67.636383
672.495911,-67.033493,-73.939476,-67.474869
691.220764,-67.118217,-73.546486,-67.320732
710.466980,-67.210892,-73.161407,-67.174530
730.249084,-67.312057,-72.784782,-67.036804
750.581604,-67.422287,-72.417183,-66.908119
771.480225,-67.542114,-72.059151,-66.789017
792.961182,-67.672104,-71.711220,-66.680038
815.040283,-67.812775,-71.373917,-66.581734
837.734070,-67.964622,-71.047760,-66.494576
861.059326,-68.128113,-70.733177,-66.419022
885.034058,-68.303635,-70.430595,-66.355499
909.676758,-68.491592,-70.140366,-66.304359
935.005615,-68.692261,-69.862793,-66.265915
961.039246,-68.905884,-69.598114,-66.240379
987.798218,-69.132622,-69.346458,-66.227921
1015.301758,-69.372543,-69.107941,-66.228622
1043.571655,-69.625656,-68.882530,-66.242477
1072.628662,-69.891899,-68.670151,-66.269409
1102.494141,-70.171112,-68.470673,-66.309273
1133.191162,-70.463058,-68.283844,-66.361832
1164.743530,-70.767471,-68.109367,-66.426804
1197.174438,-71.083984,-67.946892,-66.503822
1230.508301,-71.412193,-67.795998,-66.592476
1264.769653,-71.751633,-67.656235,-66.692314
1299.984985,-72.101822,-67.527100,-66.802841
1336.181519,-72.462250,-67.408073,-66.923538
1373.385864,-72.832390,-67.298615,-67.053879
1411.626221,-73.211678,-67.198166,-67.193306
1450.930542,-73.599571,-67.106178,-67.341263
1491.329102,-73.995529,-67.022102,-67.497200
1532.853394,-74.399040,-66.945389,-67.660599
1575.533936,-74.809540,-66.875511,-67.830902
1619.402710,-75.226562,-66.811958,-68.007645
1664.492188,-75.649605,-66.754219,-68.190292
1710.837036,-76.078224,-66.701866,-68.378418
1758.473267,-76.512001,-66.654427,-68.571594
1807.435913,-76.950516,-66.611511,-68.769386
1857.760864,-77.393387,-66.572708,-68.971420
1909.488037,-77.840302,-66.537651,-69.177353
1962.654297,-78.290894,-66.506027,-69.386833
2017.302124,-78.744896,-66.477501,-69.599579
2073.471436,-79.202034,-66.451805,-69.815292
2131.204834,-79.662048,-66.428673,-70.033737
2190.543457,-80.124710,-66.407845,-70.254654
2251.536377,-80.589859,-66.389114,-70.477859
2314.227783,-81.057281,-66.372276,-70.703156
2378.664795,-81.526825,-66.357147,-70.930359
2444.893066,-81.998306,-66.343559,-71.159309
2512.968262,-82.471680,-66.331360,-71.389885
2582.938965,-82.946762,-66.320404,-71.621964
2654.857910,-83.423500,-66.310577,-71.855408
2728.779297,-83.901787,-66.301758,-72.090149
2804.755859,-84.381531,-66.293861,-72.326065
2882.850830,-84.862732,-66.286774,-72.563126
2963.120361,-85.345306,-66.280418,-72.801239
3045.625000,-85.829224,-66.274727,-73.040344
3130.426758,-86.314453,-66.269630,-73.280418
3217.586426,-86.800957,-66.265060,-73.521385
3307.176270,-87.288773,-66.260971,-73.763245
3399.260742,-87.777863,-66.257317,-74.005959
3493.908936,-88.268250,-66.254036,-74.249512
3591.192871,-88.759926,-66.251099,-74.493896
3691.181396,-89.252930,-66.248474,-74.739075
3793.957764,-89.747299,-66.246124,-74.985085
3899.596191,-90.243057,-66.244019,-75.231918
4008.175781,-90.740242,-66.242142,-75.479568
4119.778809,-91.238922,-66.240463,-75.728065
4234.484375,-91.739090,-66.238960,-75.977409
4352.388672,-92.240913,-66.237617,-76.227646
4473.575684,-92.744400,-66.236412,-76.478783
4598.137207,-93.249649,-66.235344,-76.730873
4726.161621,-93.756683,-66.234383,-76.983910
4857.755859,-94.265709,-66.233528,-77.237999
4993.014648,-94.776756,-66.232765,-77.493134
5132.039062,-95.289955,-66.232086,-77.749397
5274.934570,-95.805405,-66.231476,-78.006813
5421.803223,-96.323242,-66.230927,-78.265472
5572.766602,-96.843643,-66.230446,-78.525421
5727.933594,-97.366753,-66.230011,-78.786758
5887.421387,-97.892685,-66.229630,-79.049538
6051.349609,-98.421677,-66.229279,-79.313858
6219.835449,-98.953850,-66.228973,-79.579803
6393.019531,-99.489479,-66.228706,-79.847481
6571.025391,-100.028801,-66.228462,-80.117004
6753.987793,-100.571960,-66.228249,-80.388489
6942.044922,-101.119263,-66.228058,-80.662048
7135.330078,-101.671036,-66.227882,-80.937836
7334.004883,-102.227493,-66.227730,-81.216003
7538.211426,-102.789009,-66.227592,-81.496696
7748.104004,-103.356003,-66.227478,-81.780106
7963.832031,-103.928764,-66.227371,-82.066414
8185.575684,-104.507591,-66.227272,-82.355835
8413.493164,-105.093224,-66.227196,-82.648590
8647.756836,-105.685989,-66.227119,-82.944939
8888.543945,-106.286400,-66.227051,-83.245132
9136.024414,-106.895073,-66.226997,-83.549438
9390.406250,-107.512703,-66.226944,-83.858246
9651.871094,-108.140060,-66.226898,-84.171867
9920.616211,-108.777763,-66.226868,-84.490700
10196.843750,-109.426804,-66.226822,-84.815170
10480.750977,-110.087921,-66.226791,-85.145737
10772.575195,-110.762482,-66.226768,-85.482971
11072.525391,-111.451332,-66.226738,-85.827415
11380.826172,-112.156067,-66.226723,-86.179764
11697.711914,-112.877991,-66.226707,-86.540710
12023.408203,-113.619019,-66.226692,-86.911102
12358.185547,-114.380493,-66.226685,-87.291870
12702.284180,-115.164642,-66.226669,-87.684059
13055.964844,-115.974510,-66.226654,-88.088905
13419.492188,-116.812057,-66.226646,-88.507751
13793.126953,-117.680595,-66.226639,-88.942169
14177.180664,-118.585449,-66.226631,-89.394066
14571.927734,-119.527771,-66.226624,-89.865524
14977.665039,-120.514915,-66.226624,-90.359085
15394.683594,-121.552231,-66.226616,-90.877769
15823.331055,-122.647766,-66.226608,-91.425201
16263.913086,-123.807816,-66.226616,-92.005676
16716.761719,-125.045425,-66.226608,-92.624542
17182.220703,-126.373779,-66.226608,-93.288483
17660.619141,-127.807648,-66.226608,-94.005814
18152.359375,-129.372253,-66.226601,-94.787361
18657.789062,-131.091492,-66.226601,-95.647392
19177.292969,-133.011307,-66.226608,-96.604988
19711.263672,-135.172348,-66.226601,-97.687225
20260.078125,-137.658691,-66.226601,-98.933044
20824.195312,-140.605606,-66.226601,-100.402763
21404.019531,-144.186279,-66.226601,-102.195961
21999.990234,-148.783966,-66.226601,-104.495636
