freq_hz,lowpass,highpass,bandpass
20.000002,-1.618712,178.381287,88.380371
20.556873,-1.663795,178.336426,88.335312
21.129250,-1.710135,178.289871,88.288956
21.717562,-1.757765,178.241882,88.241486
22.322262,-1.806723,178.193329,88.192528
22.943792,-1.857049,178.143005,88.142120
23.582628,-1.908773,178.091248,88.090263
24.239252,-1.961940,178.038193,88.037361
24.914158,-2.016590,177.983490,87.982635
25.607864,-2.072765,177.927185,87.926552
26.320877,-2.130504,177.869781,87.868843
27.053743,-2.189854,177.809952,87.809341
27.807016,-2.250855,177.748886,87.748581
28.581261,-2.313562,177.686401,87.685692
29.377064,-2.378016,177.622452,87.621468
30.195026,-2.444268,177.555496,87.555214
31.035770,-2.512369,177.487625,87.486961
31.899916,-2.582370,177.417404,87.417068
32.788124,-2.654321,177.345917,87.345200
33.701061,-2.728283,177.271713,87.271194
34.639416,-2.804307,177.195648,87.195183
35.603909,-2.882456,177.117477,87.116943
36.595249,-2.962786,177.037323,87.036682
37.614189,-3.045352,176.954758,86.954254
38.661503,-3.130232,176.869873,86.869186
39.737976,-3.217480,176.782410,86.781982
40.844433,-3.307162,176.692963,86.692406
41.981674,-3.399354,176.600784,86.600121
43.150604,-3.494121,176.506012,86.505424
44.352070,-3.591532,176.408417,86.407967
45.586987,-3.691674,176.308395,86.307861
46.856289,-3.794607,176.205399,86.204979
48.160934,-3.900426,176.099655,86.099174
49.501919,-4.009201,175.990997,85.990463
50.880226,-4.121018,175.879120,85.878616
52.296913,-4.235970,175.763931,85.763710
53.753044,-4.354139,175.645950,85.645660
55.249718,-4.475614,175.524399,85.524109
56.788082,-4.600497,175.399490,85.399132
58.369263,-4.728878,175.271118,85.270752
59.994469,-4.860857,175.139313,85.138893
61.664928,-4.996542,175.003403,85.003159
63.381897,-5.136024,174.863953,84.863663
65.146690,-5.279427,174.720581,84.720299
66.960587,-5.426855,174.573151,84.572876
68.825027,-5.578425,174.421600,84.421211
70.741356,-5.734259,174.265808,84.265457
72.711044,-5.894470,174.105438,84.105225
74.735580,-6.059195,173.940826,83.940605
76.816483,-6.228551,173.771515,83.771240
78.955345,-6.402683,173.597260,83.597099
81.153717,-6.581721,173.418213,83.418114
83.413353,-6.765811,173.234314,83.233971
85.735870,-6.955096,173.045059,83.044670
88.123062,-7.149726,172.850281,82.850113
90.576744,-7.349865,172.650116,82.649864
93.098694,-7.555665,172.444458,82.444069
95.690918,-7.767296,172.232681,82.232536
98.355293,-7.984927,172.015137,82.014877
101.093849,-8.208729,171.791275,81.791100
103.908630,-8.438884,171.561050,81.560921
106.801849,-8.675586,171.324478,81.324242
109.775620,-8.919028,171.080948,81.080788
112.832130,-9.169401,170.830627,80.830421
115.973801,-9.426929,170.573090,80.572952
119.202957,-9.691818,170.308151,80.308067
122.521957,-9.964277,170.035736,80.035591
125.933434,-10.244544,169.755417,79.755310
129.439896,-10.532862,169.467178,79.467003
133.043930,-10.829453,169.170624,79.170403
136.748306,-11.134591,168.865494,78.865250
140.555908,-11.448534,168.551483,78.551346
144.469513,-11.771544,168.228470,78.228348
148.492020,-12.103904,167.896042,77.895966
152.626602,-12.445909,167.554062,77.553955
156.876221,-12.797850,167.202164,77.202034
161.244247,-13.160060,166.839966,76.839806
165.733902,-13.532844,166.467178,76.467041
170.348480,-13.916524,166.083466,76.083344
175.091629,-14.311474,165.688568,75.688385
179.966751,-14.718040,165.281952,75.281830
184.977707,-15.136596,164.863434,74.863281
190.128204,-15.567557,164.432480,74.432335
195.421982,-16.011276,163.988739,73.988609
200.863174,-16.468216,163.531845,73.531693
