time_s,value
0.000000,0.195192
0.000021,0.287588
0.000042,0.418137
0.000063,0.477648
0.000083,0.615770
0.000104,0.674154
0.000125,0.764036
0.000146,0.809864
0.000167,0.853368
0.000188,0.904047
0.000208,0.906260
0.000229,0.980385
0.000250,0.977556
0.000271,1.064171
0.000292,1.071670
0.000312,1.141385
0.000333,1.239679
0.000354,1.266129
0.000375,1.305786
0.000396,1.299637
0.000417,1.402690
0.000438,1.436342
0.000458,1.492709
0.000479,1.465874
0.000500,1.447458
0.000521,1.440400
0.000542,1.394218
0.000562,1.423632
0.000583,1.360208
0.000604,1.388912
0.000625,1.338553
0.000646,1.308040
0.000667,1.300020
0.000687,1.287218
0.000708,1.286074
0.000729,1.227670
0.000750,1.283411
0.000771,1.291796
0.000792,1.355618
0.000813,1.332949
0.000833,1.349132
0.000854,1.412830
0.000875,1.456895
0.000896,1.576889
0.000917,1.583411
0.000937,1.652100
0.000958,1.664583
0.000979,1.704067
0.001000,1.725566
0.001021,1.771534
0.001042,1.833572
0.001063,1.803313
0.001083,1.842782
0.001104,1.823272
0.001125,1.892986
0.001146,1.876525
0.001167,1.886392
0.001187,1.946677
0.001208,1.994915
0.001229,2.112608
0.001250,2.130218
0.001271,2.189239
0.001292,2.203004
0.001312,2.288561
0.001333,2.315142
0.001354,2.332667
0.001375,2.354404
0.001396,2.276814
0.001417,2.241244
0.001438,2.122971
0.001458,2.114678
0.001479,2.035667
0.001500,1.945904
0.001521,1.863339
0.001542,1.770592
0.001563,1.737168
0.001583,1.638340
0.001604,1.591459
0.001625,1.484956
0.001646,1.495348
0.001667,1.462069
0.001688,1.406778
0.001708,1.354501
0.001729,1.242862
0.001750,1.202724
0.001771,1.072181
0.001792,1.035564
0.001812,0.948888
0.001833,0.850717
0.001854,0.718867
0.001875,0.597760
0.001896,0.543966
0.001917,0.449297
0.001937,0.422957
0.001958,0.293672
0.001979,0.266666
0.002000,0.221537
0.002021,0.177495
0.002042,0.136738
0.002062,0.064280
0.002083,0.102507
0.002104,0.075335
0.002125,0.109255
0.002146,0.091778
0.002167,0.105618
