freq_hz,fc_100_hz,fc_1000_hz,fc_5000_hz,fc_20000_hz
20.000002,-66.396912,-66.228340,-66.226669,-66.226601
20.556873,-66.406342,-66.228432,-66.226669,-66.226601
21.129250,-66.416260,-66.228539,-66.226669,-66.226601
21.717562,-66.426727,-66.228645,-66.226677,-66.226601
22.322262,-66.437767,-66.228760,-66.226685,-66.226601
22.943792,-66.449387,-66.228882,-66.226685,-66.226601
23.582628,-66.461632,-66.229012,-66.226692,-66.226601
24.239252,-66.474533,-66.229149,-66.226700,-66.226601
24.914158,-66.488121,-66.229294,-66.226700,-66.226601
25.607864,-66.502426,-66.229446,-66.226715,-66.226601
26.320877,-66.517494,-66.229599,-66.226715,-66.226608
27.053743,-66.533348,-66.229774,-66.226723,-66.226608
27.807016,-66.550034,-66.229950,-66.226730,-66.226608
28.581261,-66.567604,-66.230141,-66.226738,-66.226608
29.377064,-66.586082,-66.230339,-66.226746,-66.226608
30.195026,-66.605515,-66.230553,-66.226753,-66.226608
31.035770,-66.625961,-66.230774,-66.226761,-66.226608
31.899916,-66.647461,-66.231010,-66.226768,-66.226608
32.788124,-66.670044,-66.231255,-66.226776,-66.226608
33.701061,-66.693787,-66.231522,-66.226791,-66.226608
34.639416,-66.718719,-66.231796,-66.226799,-66.226608
35.603909,-66.744919,-66.232094,-66.226814,-66.226608
36.595249,-66.772415,-66.232407,-66.226822,-66.226608
37.614189,-66.801285,-66.232735,-66.226837,-66.226608
38.661503,-66.831581,-66.233078,-66.226852,-66.226608
39.737976,-66.863358,-66.233444,-66.226868,-66.226608
40.844433,-66.896683,-66.233833,-66.226875,-66.226608
41.981674,-66.931610,-66.234238,-66.226898,-66.226608
43.150604,-66.968170,-66.234665,-66.226913,-66.226608
44.352070,-67.006485,-66.235123,-66.226929,-66.226608
45.586987,-67.046616,-66.235603,-66.226952,-66.226608
46.856289,-67.088608,-66.236107,-66.226967,-66.226608
48.160934,-67.132523,-66.236641,-66.226990,-66.226616
49.501919,-67.178436,-66.237213,-66.227013,-66.226616
50.880226,-67.226440,-66.237808,-66.227028,-66.226616
52.296913,-67.276573,-66.238449,-66.227058,-66.226616
53.753044,-67.328918,-66.239113,-66.227081,-66.226616
55.249718,-67.383537,-66.239822,-66.227112,-66.226624
56.788082,-67.440498,-66.240562,-66.227142,-66.226624
58.369263,-67.499878,-66.241348,-66.227173,-66.226624
59.994469,-67.561752,-66.242188,-66.227203,-66.226624
61.664928,-67.626175,-66.243065,-66.227234,-66.226624
63.381897,-67.693192,-66.243988,-66.227272,-66.226624
65.146690,-67.762901,-66.244965,-66.227310,-66.226624
66.960587,-67.835335,-66.246002,-66.227348,-66.226624
68.825027,-67.910622,-66.247093,-66.227394,-66.226631
70.741356,-67.988739,-66.248253,-66.227432,-66.226631
72.711044,-68.069748,-66.249466,-66.227486,-66.226639
74.735580,-68.153717,-66.250755,-66.227539,-66.226639
76.816483,-68.240730,-66.252121,-66.227585,-66.226639
78.955345,-68.330811,-66.253555,-66.227646,-66.226639
81.153717,-68.423965,-66.255066,-66.227707,-66.226639
83.413353,-68.520256,-66.256668,-66.227768,-66.226646
85.735870,-68.619713,-66.258362,-66.227829,-66.226646
88.123062,-68.722389,-66.260147,-66.227905,-66.226646
90.576744,-68.828285,-66.262039,-66.227974,-66.226646
93.098694,-68.937401,-66.264030,-66.228050,-66.226654
95.690918,-69.049751,-66.266129,-66.228134,-66.226662
98.355293,-69.165428,-66.268349,-66.228226,-66.226662
101.093849,-69.284348,-66.270699,-66.228317,-66.226662
103.908630,-69.406532,-66.273178,-66.228409,-66.226669
106.801849,-69.532005,-66.275787,-66.228516,-66.226669
109.775620,-69.660736,-66.278549,-66.228622,-66.226677
112.832130,-69.792717,-66.281464,-66.228729,-66.226677
115.973801,-69.927933,-66.284538,-66.228851,-66.226685
119.202957,-70.066330,-66.287781,-66.228981,-66.226685
122.521957,-70.207916,-66.291214,-66.229111,-66.226692
125.933434,-70.352661,-66.294830,-66.229256,-66.226700
129.439896,-70.500504,-66.298660,-66.229408,-66.226707
133.043930,-70.651405,-66.302689,-66.229568,-66.226715
136.748306,-70.805328,-66.306946,-66.229736,-66.226715
140.555908,-70.962227,-66.311432,-66.229912,-66.226723
144.469513,-71.122040,-66.316177,-66.230095,-66.226730
148.492020,-71.284729,-66.321182,-66.230301,-66.226738
152.626602,-71.450226,-66.326462,-66.230499,-66.226746
156.876221,-71.618469,-66.332031,-66.230728,-66.226753
161.244247,-71.789421,-66.337906,-66.230957,-66.226761
165.733902,-71.962997,-66.344109,-66.231201,-66.226776
170.348480,-72.139122,-66.350647,-66.231461,-66.226784
175.091629,-72.317795,-66.357552,-66.231735,-66.226791
179.966751,-72.498833,-66.364830,-66.232025,-66.226799
184.977707,-72.682251,-66.372498,-66.232330,-66.226814
190.128204,-72.867981,-66.380592,-66.232651,-66.226822
195.421982,-73.055916,-66.389130,-66.232994,-66.226837
200.863174,-73.245995,-66.398125,-66.233360,-66.226852
206.455963,-73.438171,-66.407616,-66.233742,-66.226868
212.204483,-73.632362,-66.417610,-66.234138,-66.226883
218.113068,-73.828537,-66.428146,-66.234566,-66.226898
224.186050,-74.026543,-66.439255,-66.235016,-66.226913
230.428116,-74.226372,-66.450951,-66.235489,-66.226936
236.844116,-74.427963,-66.463280,-66.235992,-66.226952
243.438766,-74.631210,-66.476265,-66.236519,-66.226974
250.217026,-74.836082,-66.489937,-66.237083,-66.226990
257.183868,-75.042519,-66.504349,-66.237671,-66.227020
264.344727,-75.250443,-66.519508,-66.238297,-66.227043
271.705078,-75.459831,-66.535469,-66.238953,-66.227066
279.270386,-75.670563,-66.552269,-66.239655,-66.227097
287.046356,-75.882614,-66.569946,-66.240395,-66.227119
295.038635,-76.095917,-66.588547,-66.241165,-66.227150
303.253479,-76.310432,-66.608109,-66.241989,-66.227180
311.697235,-76.526138,-66.628677,-66.242859,-66.227211
320.376068,-76.742943,-66.650307,-66.243767,-66.227249
329.296387,-76.960800,-66.673035,-66.244736,-66.227280
338.465240,-77.179619,-66.696922,-66.245758,-66.227325
347.889221,-77.399452,-66.722015,-66.246841,-66.227364
357.575775,-77.620209,-66.748360,-66.247978,-66.227409
367.532043,-77.841827,-66.776024,-66.249176,-66.227455
377.765350,-78.064285,-66.805061,-66.250450,-66.227501
388.283569,-78.287567,-66.835526,-66.251801,-66.227554
399.094849,-78.511597,-66.867485,-66.253212,-66.227600
410.207184,-78.736336,-66.900993,-66.254715,-66.227661
421.628906,-78.961777,-66.936104,-66.256294,-66.227722
433.368439,-79.187897,-66.972900,-66.257965,-66.227783
445.434814,-79.414612,-67.011436,-66.259727,-66.227852
457.837433,-79.641907,-67.051773,-66.261589,-66.227921
470.585358,-79.869812,-67.093987,-66.263557,-66.227997
483.688263,-80.098259,-67.138145,-66.265633,-66.228073
497.155701,-80.327164,-67.184303,-66.267822,-66.228165
510.998138,-80.556572,-67.232544,-66.270142,-66.228249
525.226257,-80.786476,-67.282928,-66.272583,-66.228340
539.850586,-81.016785,-67.335526,-66.275162,-66.228439
554.881775,-81.247498,-67.390411,-66.277893,-66.228546
570.331787,-81.478653,-67.447647,-66.280762,-66.228653
586.211731,-81.710144,-67.507309,-66.283806,-66.228767
602.534058,-81.941994,-67.569458,-66.287010,-66.228889
619.310913,-82.174187,-67.634155,-66.290390,-66.229019
636.554565,-82.406677,-67.701477,-66.293961,-66.229156
654.278320,-82.639473,-67.771469,-66.297737,-66.229301
672.495911,-82.872581,-67.844215,-66.301712,-66.229454
691.220764,-83.105942,-67.919754,-66.305916,-66.229614
710.466980,-83.339546,-67.998154,-66.310349,-66.229782
