freq_hz,fc_100_hz,fc_1000_hz,fc_5000_hz,fc_20000_hz
20.000002,-11.235068,-1.072398,-0.162305,-0.011803
20.556873,-11.539468,-1.102249,-0.166824,-0.012132
21.129250,-11.851602,-1.132930,-0.171469,-0.012470
21.717562,-12.171666,-1.164464,-0.176244,-0.012817
22.322262,-12.499883,-1.196876,-0.181151,-0.013174
22.943792,-12.836317,-1.230189,-0.186195,-0.013541
23.582628,-13.181156,-1.264428,-0.191379,-0.013918
24.239252,-13.534595,-1.299620,-0.196707,-0.014305
24.914158,-13.896753,-1.335790,-0.202184,-0.014704
25.607864,-14.267809,-1.372967,-0.207814,-0.015113
26.320877,-14.647833,-1.411176,-0.213600,-0.015534
27.053743,-15.037145,-1.450449,-0.219547,-0.015966
27.807016,-15.435686,-1.490812,-0.225660,-0.016411
28.581261,-15.843664,-1.532298,-0.231943,-0.016868
29.377064,-16.261337,-1.574936,-0.238401,-0.017337
30.195026,-16.688805,-1.618760,-0.245038,-0.017820
31.035770,-17.126045,-1.663802,-0.251861,-0.018316
31.899916,-17.573298,-1.710095,-0.258873,-0.018826
32.788124,-18.030708,-1.757674,-0.266081,-0.019351
33.701061,-18.498322,-1.806575,-0.273489,-0.019889
34.639416,-18.976212,-1.856835,-0.281104,-0.020443
35.603909,-19.464561,-1.908491,-0.288930,-0.021012
36.595249,-19.963327,-1.961578,-0.296975,-0.021597
37.614189,-20.472691,-2.016141,-0.305243,-0.022199
38.661503,-20.992641,-2.072220,-0.313742,-0.022817
39.737976,-21.523232,-2.129854,-0.322477,-0.023452
40.844433,-22.064568,-2.189088,-0.331455,-0.024105
41.981674,-22.616518,-2.249962,-0.340684,-0.024776
43.150604,-23.179094,-2.312528,-0.350169,-0.025466
44.352070,-23.752333,-2.376829,-0.359918,-0.026175
45.586987,-24.336267,-2.442912,-0.369939,-0.026904
46.856289,-24.930731,-2.510827,-0.380238,-0.027653
48.160934,-25.535732,-2.580621,-0.390825,-0.028423
49.501919,-26.151011,-2.652353,-0.401706,-0.029214
50.880226,-26.776640,-2.726072,-0.412889,-0.030028
52.296913,-27.412376,-2.801829,-0.424385,-0.030864
53.753044,-28.058302,-2.879684,-0.436200,-0.031723
55.249718,-28.713842,-2.959693,-0.448344,-0.032606
56.788082,-29.378874,-3.041915,-0.460826,-0.033514
58.369263,-30.053396,-3.126409,-0.473655,-0.034447
59.994469,-30.736931,-3.213243,-0.486842,-0.035407
61.664928,-31.429266,-3.302471,-0.500395,-0.036392
63.381897,-32.130123,-3.394166,-0.514326,-0.037406
65.146690,-32.839092,-3.488391,-0.528644,-0.038447
66.960587,-33.555817,-3.585213,-0.543361,-0.039518
68.825027,-34.280163,-3.684710,-0.558488,-0.040618
70.741356,-35.011467,-3.786948,-0.574035,-0.041749
72.711044,-35.749268,-3.891996,-0.590015,-0.042911
74.735580,-36.493198,-3.999939,-0.606440,-0.044106
76.816483,-37.242817,-4.110855,-0.623322,-0.045334
78.955345,-37.997593,-4.224815,-0.640673,-0.046596
81.153717,-38.757038,-4.341907,-0.658507,-0.047893
83.413353,-39.520611,-4.462215,-0.676838,-0.049227
85.735870,-40.287636,-4.585825,-0.695678,-0.050597
88.123062,-41.057838,-4.712817,-0.715043,-0.052006
90.576744,-41.830467,-4.843286,-0.734946,-0.053454
