time_s,dur_5_ms,dur_25_ms,dur_100_ms,dur_250_ms
0.000000,0.004167,0.000833,0.000208,0.000083
0.000021,0.008333,0.001667,0.000417,0.000167
0.000042,0.012500,0.002500,0.000625,0.000250
0.000063,0.016667,0.003333,0.000833,0.000333
0.000083,0.020833,0.004167,0.001042,0.000417
0.000104,0.025000,0.005000,0.001250,0.000500
0.000125,0.029167,0.005833,0.001458,0.000583
0.000146,0.033333,0.006667,0.001667,0.000667
0.000167,0.037500,0.007500,0.001875,0.000750
0.000188,0.041667,0.008333,0.002083,0.000833
0.000208,0.045833,0.009167,0.002292,0.000917
0.000229,0.050000,0.010000,0.002500,0.001000
0.000250,0.054167,0.010833,0.002708,0.001083
0.000271,0.058333,0.011667,0.002917,0.001167
0.000292,0.062500,0.012500,0.003125,0.001250
0.000312,0.066667,0.013333,0.003333,0.001333
0.000333,0.070833,0.014167,0.003542,0.001417
0.000354,0.075000,0.015000,0.003750,0.001500
0.000375,0.079167,0.015833,0.003958,0.001583
0.000396,0.083333,0.016667,0.004167,0.001667
0.000417,0.087500,0.017500,0.004375,0.001750
0.000438,0.091667,0.018333,0.004583,0.001833
0.000458,0.095833,0.019167,0.004792,0.001917
0.000479,0.100000,0.020000,0.005000,0.002000
0.000500,0.104167,0.020833,0.005208,0.002083
0.000521,0.108333,0.021667,0.005417,0.002167
0.000542,0.112500,0.022500,0.005625,0.002250
0.000562,0.116667,0.023333,0.005833,0.002333
0.000583,0.120833,0.024167,0.006042,0.002417
0.000604,0.125000,0.025000,0.006250,0.002500
0.000625,0.129167,0.025833,0.006458,0.002583
0.000646,0.133333,0.026667,0.006667,0.002667
0.000667,0.137500,0.027500,0.006875,0.002750
0.000687,0.141667,0.028333,0.007083,0.002833
0.000708,0.145833,0.029167,0.007292,0.002917
0.000729,0.150000,0.030000,0.007500,0.003000
0.000750,0.154167,0.030833,0.007708,0.003083
0.000771,0.158333,0.031667,0.007917,0.003167
0.000792,0.162500,0.032500,0.008125,0.003250
0.000813,0.166667,0.033333,0.008333,0.003333
0.000833,0.170833,0.034167,0.008542,0.003417
0.000854,0.175000,0.035000,0.008750,0.003500
0.000875,0.179167,0.035833,0.008958,0.003583
0.000896,0.183333,0.036667,0.009167,0.003667
0.000917,0.187500,0.037500,0.009375,0.003750
0.000937,0.191667,0.038333,0.009583,0.003833
0.000958,0.195833,0.039167,0.009792,0.003917
0.000979,0.200000,0.040000,0.010000,0.004000
0.001000,0.204167,0.040833,0.010208,0.004083
0.001021,0.208333,0.041667,0.010417,0.004167
0.001042,0.212500,0.042500,0.010625,0.004250
0.001063,0.216667,0.043333,0.010833,0.004333
0.001083,0.220833,0.044167,0.011042,0.004417
0.001104,0.225000,0.045000,0.011250,0.004500
0.001125,0.229167,0.045833,0.011458,0.004583
0.001146,0.233333,0.046667,0.011667,0.004667
0.001167,0.237500,0.047500,0.011875,0.004750
0.001187,0.241667,0.048333,0.012083,0.004833
0.001208,0.245833,0.049167,0.012292,0.004917
0.001229,0.250000,0.050000,0.012500,0.005000
0.001250,0.254167,0.050833,0.012708,0.005083
0.001271,0.258333,0.051667,0.012917,0.005167
0.001292,0.262500,0.052500,0.013125,0.005250
0.001312,0.266667,0.053333,0.013333,0.005333
0.001333,0.270833,0.054167,0.013542,0.005417
0.001354,0.275000,0.055000,0.013750,0.005500
0.001375,0.279167,0.055833,0.013958,0.005583
0.001396,0.283333,0.056667,0.014167,0.005667
0.001417,0.287500,0.057500,0.014375,0.005750
0.001438,0.291667,0.058333,0.014583,0.005833
0.001458,0.295833,0.059167,0.014792,0.005917
0.001479,0.300000,0.060000,0.015000,0.006000
0.001500,0.304167,0.060833,0.015208,0.006083
0.001521,0.308333,0.061667,0.015417,0.006167
0.001542,0.312500,0.062500,0.015625,0.006250
0.001563,0.316667,0.063333,0.015833,0.006333
0.001583,0.320833,0.064167,0.016042,0.006417
0.001604,0.325000,0.065000,0.016250,0.006500
0.001625,0.329167,0.065833,0.016458,0.006583
0.001646,0.333333,0.066667,0.016667,0.006667
0.001667,0.337500,0.067500,0.016875,0.006750
0.001688,0.341667,0.068333,0.017083,0.006833
0.001708,0.345833,0.069167,0.017292,0.006917
0.001729,0.350000,0.070000,0.017500,0.007000
0.001750,0.354167,0.070833,0.017708,0.007083
0.001771,0.358333,0.071667,0.017917,0.007167
0.001792,0.362500,0.072500,0.018125,0.007250
0.001812,0.366666,0.073333,0.018333,0.007333
0.001833,0.370833,0.074167,0.018542,0.007417
0.001854,0.375000,0.075000,0.018750,0.007500
0.001875,0.379166,0.075833,0.018958,0.007583
0.001896,0.383333,0.076667,0.019167,0.007667
0.001917,0.387500,0.077500,0.019375,0.007750
0.001937,0.391666,0.078333,0.019583,0.007833
0.001958,0.395833,0.079167,0.019792,0.007917
0.001979,0.400000,0.080000,0.020000,0.008000
0.002000,0.404166,0.080833,0.020208,0.008083
0.002021,0.408333,0.081667,0.020417,0.008167
0.002042,0.412500,0.082500,0.020625,0.008250
0.002062,0.416666,0.083333,0.020833,0.008333
0.002083,0.420833,0.084167,0.021042,0.008417
0.002104,0.425000,0.085000,0.021250,0.008500
0.002125,0.429166,0.085833,0.021458,0.008583
0.002146,0.433333,0.086667,0.021667,0.008667
0.002167,0.437500,0.087500,0.021875,0.008750
0.002188,0.441666,0.088333,0.022083,0.008833
0.002208,0.445833,0.089167,0.022292,0.008917
0.002229,0.450000,0.090000,0.022500,0.009000
0.002250,0.454166,0.090833,0.022708,0.009083
0.002271,0.458333,0.091667,0.022917,0.009167
0.002292,0.462500,0.092500,0.023125,0.009250
0.002313,0.466666,0.093333,0.023333,0.009333
0.002333,0.470833,0.094167,0.023542,0.009417
0.002354,0.475000,0.095000,0.023750,0.009500
0.002375,0.479166,0.095833,0.023958,0.009583
0.002396,0.483333,0.096667,0.024167,0.009667
0.002417,0.487500,0.097500,0.024375,0.009750
0.002438,0.491666,0.098333,0.024583,0.009833
0.002458,0.495833,0.099167,0.024792,0.009917
0.002479,0.500000,0.100000,0.025000,0.010000
0.002500,0.504166,0.100833,0.025208,0.010083
0.002521,0.508333,0.101667,0.025417,0.010167
0.002542,0.512500,0.102500,0.025625,0.010250
0.002563,0.516666,0.103333,0.025833,0.010333
0.002583,0.520833,0.104167,0.026042,0.010417
0.002604,0.525000,0.105000,0.026250,0.010500
0.002625,0.529166,0.105833,0.026458,0.010583
0.002646,0.533333,0.106667,0.026667,0.010667
0.002667,0.537500,0.107500,0.026875,0.010750
0.002688,0.541666,0.108333,0.027083,0.010833
0.002708,0.545833,0.109167,0.027292,0.010917
0.002729,0.550000,0.110000,0.027500,0.011000
0.002750,0.554166,0.110833,0.027708,0.011083
0.002771,0.558333,0.111667,0.027917,0.011167
0.002792,0.562500,0.112500,0.028125,0.011250
0.002813,0.566666,0.113333,0.028333,0.011333
0.002833,0.570833,0.114167,0.028542,0.011417
0.002854,0.575000,0.115000,0.028750,0.011500
0.002875,0.579166,0.115833,0.028958,0.011583
0.002896,0.583333,0.116667,0.029167,0.011667
0.002917,0.587500,0.117500,0.029375,0.011750
