freq_hz,lowpass,bandpass,highpass
20.000002,-66.226341,-100.218155,-134.210114
20.556873,-66.226326,-99.979591,-133.732635
21.129250,-66.226311,-99.741051,-133.254959
21.717562,-66.226295,-99.502487,-132.779053
22.322262,-66.226280,-99.263924,-132.301392
22.943792,-66.226265,-99.025360,-131.824173
23.582628,-66.226242,-98.786812,-131.346207
24.239252,-66.226227,-98.548248,-130.870926
24.914158,-66.226204,-98.309692,-130.392487
25.607864,-66.226181,-98.071121,-129.915543
26.320877,-66.226158,-97.832558,-129.439209
27.053743,-66.226128,-97.593994,-128.961349
27.807016,-66.226105,-97.355431,-128.485245
28.581261,-66.226074,-97.116859,-128.007370
29.377064,-66.226051,-96.878288,-127.530075
30.195026,-66.226013,-96.639717,-127.053452
31.035770,-66.225983,-96.401146,-126.575851
31.899916,-66.225952,-96.162567,-126.099411
32.788124,-66.225914,-95.923996,-125.621567
33.701061,-66.225876,-95.685410,-125.144775
34.639416,-66.225838,-95.446838,-124.667290
35.603909,-66.225800,-95.208244,-124.190292
36.595249,-66.225746,-94.969650,-123.713455
37.614189,-66.225700,-94.731071,-123.236115
38.661503,-66.225655,-94.492485,-122.759323
39.737976,-66.225601,-94.253883,-122.282166
40.844433,-66.225548,-94.015282,-121.805267
41.981674,-66.225487,-93.776695,-121.328011
43.150604,-66.225426,-93.538086,-120.850555
44.352070,-66.225357,-93.299484,-120.373398
45.586987,-66.225288,-93.060867,-119.896355
46.856289,-66.225220,-92.822258,-119.418976
48.160934,-66.225143,-92.583626,-118.941895
49.501919,-66.225060,-92.345009,-118.464813
50.880226,-66.224976,-92.106384,-117.987534
52.296913,-66.224892,-91.867752,-117.510742
53.753044,-66.224792,-91.629112,-117.033539
55.249718,-66.224693,-91.390472,-116.556259
56.788082,-66.224586,-91.151817,-116.078934
58.369263,-66.224480,-90.913170,-115.601669
59.994469,-66.224365,-90.674515,-115.124626
61.664928,-66.224236,-90.435837,-114.647369
63.381897,-66.224106,-90.197174,-114.170074
65.146690,-66.223976,-89.958496,-113.693001
66.960587,-66.223831,-89.719810,-113.215652
68.825027,-66.223679,-89.481117,-112.738495
70.741356,-66.223526,-89.242409,-112.261192
72.711044,-66.223358,-89.003708,-111.784088
74.735580,-66.223183,-88.764969,-111.306725
76.816483,-66.223000,-88.526245,-110.829460
78.955345,-66.222801,-88.287514,-110.352203
81.153717,-66.222595,-88.048767,-109.874985
83.413353,-66.222382,-87.809998,-109.397568
85.735870,-66.222160,-87.571220,-108.920319
88.123062,-66.221916,-87.332443,-108.442924
90.576744,-66.221672,-87.093651,-107.965630
93.098694,-66.221405,-86.854843,-107.488243
95.690918,-66.221138,-86.616020,-107.010880
98.355293,-66.220848,-86.377182,-106.533577
101.093849,-66.220551,-86.138344,-106.056091
103.908630,-66.220238,-85.899490,-105.578697
106.801849,-66.219902,-85.660599,-105.101242
109.775620,-66.219559,-85.421707,-104.623871
112.832130,-66.219208,-85.182800,-104.146393
115.973801,-66.218826,-84.943878,-103.668900
119.202957,-66.218430,-84.704933,-103.191376
122.521957,-66.218025,-84.465958,-102.713928
125.933434,-66.217606,-84.226990,-102.236374
129.439896,-66.217155,-83.987999,-101.758820
133.043930,-66.216698,-83.748993,-101.281281
136.748306,-66.216217,-83.509964,-100.803711
140.555908,-66.215721,-83.270912,-100.326096
144.469513,-66.215210,-83.031837,-99.848465
148.492020,-66.214684,-82.792755,-99.370811
152.626602,-66.214134,-82.553650,-98.893158
156.876221,-66.213570,-82.314537,-98.415512
161.244247,-66.212990,-82.075394,-97.937782
165.733902,-66.212395,-81.836243,-97.460083
170.348480,-66.211792,-81.597076,-96.982353
175.091629,-66.211166,-81.357887,-96.504601
179.966751,-66.210541,-81.118706,-96.026848
184.977707,-66.209908,-80.879509,-95.549088
190.128204,-66.209267,-80.640297,-95.071342
195.421982,-66.208626,-80.401093,-94.593567
200.863174,-66.207993,-80.161896,-94.115799
206.455963,-66.207359,-79.922699,-93.638031
212.204483,-66.206749,-79.683510,-93.160263
218.113068,-66.206146,-79.444336,-92.682526
224.186050,-66.205589,-79.205200,-92.204811
230.428116,-66.205055,-78.966095,-91.727142
236.844116,-66.204567,-78.727043,-91.249496
243.438766,-66.204140,-78.488037,-90.771912
250.217026,-66.203789,-78.249092,-90.294388
257.183868,-66.203522,-78.010246,-89.816963
264.344727,-66.203362,-77.771500,-89.339638
271.705078,-66.203323,-77.532867,-88.862411
279.270386,-66.203423,-77.294380,-88.385323
287.046356,-66.203697,-77.056061,-87.908409
295.038635,-66.204178,-76.817940,-87.431709
303.253479,-66.204895,-76.580055,-86.955223
311.697235,-66.205879,-76.342422,-86.478973
320.376068,-66.207169,-76.105103,-86.003044
329.296387,-66.208824,-75.868149,-85.527489
338.465240,-66.210884,-75.631592,-85.052299
347.889221,-66.213425,-75.395515,-84.577606
357.575775,-66.216499,-75.159958,-84.103432
367.532043,-66.220184,-74.925026,-83.629852
377.765350,-66.224579,-74.690781,-83.156975
388.283569,-66.229759,-74.457321,-82.684891
399.094849,-66.235840,-74.224762,-82.213676
410.207184,-66.242950,-73.993210,-81.743469
421.628906,-66.251205,-73.762802,-81.274406
433.368439,-66.260757,-73.533691,-80.806625
445.434814,-66.271767,-73.306038,-80.340309
457.837433,-66.284424,-73.080017,-79.875603
470.585358,-66.298935,-72.855835,-79.412735
483.688263,-66.315506,-72.633713,-78.951912
497.155701,-66.334396,-72.413910,-78.493401
510.998138,-66.355881,-72.196671,-78.037460
525.226257,-66.380241,-71.982315,-77.584373
539.850586,-66.407814,-71.771149,-77.134476
554.881775,-66.438950,-71.563545,-76.688126
570.331787,-66.474045,-71.359871,-76.245697
586.211731,-66.513489,-71.160553,-75.807625
602.534058,-66.557762,-70.966042,-75.374329
619.310913,-66.607346,-70.776817,-74.946304
636.554565,-66.662720,-70.593399,-74.524071
654.278320,-66.724457,-70.416313,-74.108162
672.495911,-66.793121,-70.246132,-73.699142
691.220764,-66.869308,-70.083458,-73.297607
710.466980,-66.953629,-69.928902,-72.904182
730.249084,-67.046730,-69.783104,-72.519470
750.581604,-67.149231,-69.646690,-72.144157
771.480225,-67.261780,-69.520309,-71.778839
792.961182,-67.385010,-69.404587,-71.424164
815.040283,-67.519531,-69.300125,-71.080711
837.734070,-67.665932,-69.207520,-70.749084
861.059326,-67.824745,-69.127304,-70.429848
885.034058,-67.996460,-69.059967,-70.123459
909.676758,-68.181526,-69.005928,-69.830330
935.005615,-68.380272,-68.965546,-69.550827
961.039246,-68.592979,-68.939102,-69.285233
987.798218,-68.819824,-68.926758,-69.033707
1015.301758,-69.060913,-68.928619,-68.796341
1043.571655,-69.316223,-68.944672,-68.573120
1072.628662,-69.585678,-68.974823,-68.363960
1102.494141,-69.869064,-69.018860,-68.168655
1133.191162,-70.166115,-69.076523,-67.986923
1164.743530,-70.476479,-69.147446,-67.818398
1197.174438,-70.799713,-69.231186,-67.662659
1230.508301,-71.135345,-69.327271,-67.519180
1264.769653,-71.482819,-69.435135,-67.387451
1299.984985,-71.841545,-69.554199,-67.266861
1336.181519,-72.210945,-69.683868,-67.156792
1373.385864,-72.590378,-69.823509,-67.056641
1411.626221,-72.979225,-69.972473,-66.965744
1450.930542,-73.376839,-70.130150,-66.883476
1491.329102,-73.782616,-70.295914,-66.809204
1532.853394,-74.195938,-70.469139,-66.742325
1575.533936,-74.616249,-70.649254,-66.682251
1619.402710,-75.042976,-70.835693,-66.628403
1664.492188,-75.475594,-71.027924,-66.580246
1710.837036,-75.913612,-71.225449,-66.537277
1758.473267,-76.356575,-71.427795,-66.499031
1807.435913,-76.804039,-71.634537,-66.465057
1857.760864,-77.255600,-71.845268,-66.434937
1909.488037,-77.710922,-72.059616,-66.408302
1962.654297,-78.169640,-72.277222,-66.384804
2017.302124,-78.631477,-72.497787,-66.364105
2073.471436,-79.096138,-72.721039,-66.345947
2131.204834,-79.563393,-72.946709,-66.330040
2190.543457,-80.032990,-73.174561,-66.316147
2251.536377,-80.504761,-73.404404,-66.304039
2314.227783,-80.978516,-73.636032,-66.293541
2378.664795,-81.454102,-73.869278,-66.284462
2444.893066,-81.931374,-74.104012,-66.276642
2512.968262,-82.410233,-74.340088,-66.269943
2582.938965,-82.890556,-74.577393,-66.264221
2654.857910,-83.372269,-74.815826,-66.259377
2728.779297,-83.855293,-75.055298,-66.255295
2804.755859,-84.339539,-75.295723,-66.251892
2882.850830,-84.825012,-75.537048,-66.249077
2963.120361,-85.311653,-75.779213,-66.246780
3045.625000,-85.799408,-76.022179,-66.244949
3130.426758,-86.288300,-76.265892,-66.243492
3217.586426,-86.778267,-76.510330,-66.242393
3307.176270,-87.269363,-76.755470,-66.241577
3399.260742,-87.761566,-77.001297,-66.241035
3493.908936,-88.254898,-77.247803,-66.240707
3591.192871,-88.749374,-77.494972,-66.240570
3691.181396,-89.245010,-77.742798,-66.240585
3793.957764,-89.741890,-77.991318,-66.240746
3899.596191,-90.240028,-78.240517,-66.241013
4008.175781,-90.739456,-78.490417,-66.241386
4119.778809,-91.240250,-78.741051,-66.241837
4234.484375,-91.742462,-78.992401,-66.242355
