freq_hz,lowpass,bandpass,highpass
20.000002,-1.561557,88.438881,178.438736
20.556873,-1.605050,88.395340,178.395493
21.129250,-1.649757,88.350830,178.350983
21.717562,-1.695709,88.304749,178.304565
22.322262,-1.742941,88.257370,178.257050
22.943792,-1.791491,88.208817,178.208862
23.582628,-1.841392,88.158974,178.159286
24.239252,-1.892686,88.107613,178.107178
24.914158,-1.945411,88.054878,178.055084
25.607864,-1.999604,88.000603,178.000504
26.320877,-2.055310,87.945122,177.945084
27.053743,-2.112567,87.887840,177.887543
27.807016,-2.171426,87.828888,177.828735
28.581261,-2.231921,87.768463,177.768509
29.377064,-2.294106,87.706314,177.706055
30.195026,-2.358026,87.642296,177.642487
31.035770,-2.423731,87.576553,177.576553
31.899916,-2.491268,87.508919,177.508636
32.788124,-2.560691,87.439529,177.439514
33.701061,-2.632050,87.368263,177.368011
34.639416,-2.705404,87.294830,177.294815
35.603909,-2.780804,87.219421,177.219574
36.595249,-2.858309,87.141861,177.142014
37.614189,-2.937979,87.062302,177.062363
38.661503,-3.019875,86.980263,176.980194
39.737976,-3.104059,86.896126,176.896103
40.844433,-3.190600,86.809578,176.809631
41.981674,-3.279554,86.720642,176.720566
43.150604,-3.370999,86.629242,176.629242
44.352070,-3.464997,86.535141,176.535263
45.586987,-3.561628,86.438530,176.438522
46.856289,-3.660962,86.339241,176.339127
48.160934,-3.763073,86.237091,176.237213
49.501919,-3.868046,86.132118,176.132187
50.880226,-3.975957,86.024200,176.024368
52.296913,-4.086889,85.913261,175.913223
53.753044,-4.200931,85.799240,175.799149
55.249718,-4.318170,85.681992,175.681854
56.788082,-4.438697,85.561485,175.561432
58.369263,-4.562602,85.437546,175.437637
59.994469,-4.689990,85.310158,175.310104
61.664928,-4.820947,85.179207,175.179184
63.381897,-4.955582,85.044540,175.044662
65.146690,-5.094009,84.906204,174.906174
66.960587,-5.236322,84.763824,174.763947
68.825027,-5.382646,84.617432,174.617493
70.741356,-5.533081,84.467064,174.467087
72.711044,-5.687753,84.312363,174.312317
74.735580,-5.846791,84.153351,174.153351
76.816483,-6.010307,83.989807,173.989868
78.955345,-6.178441,83.821640,173.821655
81.153717,-6.351319,83.648796,173.648804
83.413353,-6.529089,83.471046,173.471008
85.735870,-6.711888,83.288185,173.288269
88.123062,-6.899862,83.100273,173.100266
